-12,0
-22,0
-17,0
-162,23673
-65,0
-168,20016
-177,0
-29,0
-24,0
-163,20018
71,22049
-82,21894
-67,25568
104,25740
18,0
62,29298
85,29317
40,23804
-59,23719
-114,23662
-33,23746
79,29318
-183,23844
71,23844
-17,24661
-25,23673
138,0
83,24765
-3,32832
250,0
-6,32834
-10,24661
51,24661
11,25588
65,0
75,25651
66,0
-22,25555
77,25650
107,26552
64,0
-10,33732
-93,0
48,26514
55,0
103,26573
-14,26464
68,26550
85,26562
-26,26454
-16,0
71,27517
154,0
126,0
33,25671
95,25740
-174,27286
-86,27286
160,0
40,35577
-76,0
87,36524
71,29244
-19,30056
394,0
85,20149
66,20149
-33,30149
77,30149
135,41072
588,0
593,30665
179,30647
72,0
80,0
74,30126
407,30479
45,0
-138,20242
198,37538
182,20018
71,20018
-44,30915
96,31003
28,31003
444,32832
36,29318
21,32834
362,0
375,31346
259,39384
-76,31804
168,22049
73,22049
183,21894
10,39136
-31,0
0,32949
105,33055
-16,32930
52,33009
-8,25568
-18,32934
80,0
-4,0
-49,0
-90,32866
-7,32947
-38,0
-77,32877
-43,0
99,33045
-27,32935
-77,32874
-203,23662
-189,23746
92,41032
-81,0
10,23844
301,24765
96,27517
-57,34734
46,24661
343,33732
334,25588
-11,37348
1,25650
70,25555
49,35588
26,0
546,0
99,25671
49,29317
-106,27398
154,25740
500,27286
-11,28441
-107,0
-3,28468
-21,0
39,48173
-22,35577
-33,36524
10,29244
74,0
391,30056
30,46370
5,20149
-83,41072
84,30149
35,0
40,30665
38,20016
211,30126
26,39138
90,39232
143,37538
5,23673
307,31047
-1,32832
92,29318
193,22049
333,21894
13,41851
16,41842
-109,0
-14,41804
150,25568
-58,41774
-106,41732
15,0
213,0
201,0
-95,41744
83,23719
249,23746
9,23662
37,41032
-88,23844
28,49948
397,34843
332,24765
197,34734
549,24661
455,33732
135,25588
199,44734
41,25646
114,25651
320,35588
102,45536
393,0
75,29298
41,25671
-65,29317
105,25740
114,27286
460,28441
139,37329
247,37142
915,47232
350,28468
33,0
343,37182
42,48173
242,35577
143,29244
191,0
219,30056
309,46370
-1,20149
-71,41072
43,30149
115,30665
239,20016
244,30258
430,30647
144,39138
93,39232
-99,20242
248,37538
275,20018
205,31003
-2,23673
34,32832
52,29318
-7,32834
136,49178
827,31346
53,39384
216,22049
764,21894
417,39136
149,50985
475,41851
394,41749
331,41804
314,41774
111,0
6,41763
643,41978
301,0
285,41634
505,41744
623,51446
264,23719
40,23746
343,23662
14,41032
115,23844
150,49948
242,24765
311,34734
238,24661
142,33732
-77,44734
588,25588
150,25646
152,25651
143,44557
951,25650
451,25555
393,35588
-32,29298
-124,25671
-10,29317
-69,25740
292,0
-46,0
105,48173
30,27286
5,35577
155,37329
-55,36524
19,47232
97,28468
37,55367
-117,37182
41,46370
28,67956
35,41072
411,37538
625,56867
702,56933
1006,57231
52,56282
